question_id,question,model_answer,evaluation_criteria
Q11,"Evaluate the four dimensions of knowledge (data, information, knowledge, wisdom) and explain how each adds value to organisational decision-making.","• Data: Raw, unprocessed facts and figures captured by systems (e.g., sales transactions); provides the foundational input for analysis but holds no inherent meaning without processing.
• Information: Data processed and contextualised to carry meaning (e.g., monthly regional sales reports); enables managers to identify patterns and monitor operational performance.
• Knowledge: Information combined with experience, interpretation, and context; enables understanding of root causes, prediction of outcomes, and strategic decision-making.
• Wisdom: The highest level — applying knowledge with contextual, experiential judgment to navigate complex, novel situations; guides long-term strategic direction.
• Critical Evaluation: Each transition up the hierarchy requires progressively greater organisational resources; knowledge is dynamic — patterns become outdated — making continuous investment in knowledge refinement essential for competitive advantage.",
Q12,"Critically evaluate the distinction between explicit and tacit knowledge, and assess why tacit knowledge poses a greater challenge for knowledge management systems.","• Explicit Knowledge Defined: Formally documented and easily communicable knowledge (e.g., manuals, procedures, reports, databases); readily captured, indexed, and shared by KMS at scale.
• Tacit Knowledge Defined: Personal, experience-based knowledge embedded in individual skills, intuitions, and cognitive models (e.g., expert judgment, craft skills); difficult to articulate or formalise.
• Challenge for KMS: Tacit knowledge is 'sticky' (resistant to transfer), situated (context-embedded), and conditional (applicable only in specific circumstances) — it cannot simply be stored in a database.
• Organisational Risk: When employees with tacit knowledge depart, irreplaceable capability is lost — a persistent strategic vulnerability requiring cultural and structural mitigation.
• Critical Evaluation: Partial capture mechanisms exist (expert systems, CBR, communities of practice) but are imperfect — conversion to explicit rules loses contextual nuance; cultural barriers (fear of losing competitive advantage) often prevent voluntary sharing.",
Q13,"Evaluate the four stages of the Knowledge Management Value Chain (acquisition, storage, dissemination, application) and assess how each stage contributes to organisational value creation.","• Acquisition: Capturing explicit and tacit knowledge from internal processes, expert networks, TPS, and external sources; quality of acquisition determines richness of the entire chain — garbage in, garbage out.
• Storage: Structuring and preserving acquired knowledge in databases and document management systems; requires careful taxonomy development, management support, and employee incentive systems.
• Dissemination: Making stored knowledge accessible through portals, wikis, email, and collaboration tools; information overload is a significant risk, requiring training and informal networks to filter relevant content.
• Application: Embedding knowledge into decision-support systems and business processes to generate return on investment; the stage where tangible organisational value is realised — new products, services, and markets.
• Critical Evaluation: Chain is only as strong as its weakest stage; most organisations underinvest in dissemination (knowledge silos) and application; feedback loops — knowledge from application enriching acquisition — are essential for a dynamic, self-improving system.",
Q14,"Evaluate the role of Enterprise Content Management (ECM) systems in managing organisational knowledge, including their key functions and limitations.","• ECM Defined: Systems that capture, store, manage, and deliver the full lifecycle of unstructured and semi-structured organisational content — documents, emails, videos, wikis, blogs, and external feeds.
• Key Functions: Content lifecycle management (create/capture, tag, store/retrieve, manage/review, distribute/publish); digital asset management; collaboration tools integration; unified enterprise-wide repository.
• Knowledge Management Role: Transforms dispersed, heterogeneous content into organised, accessible knowledge repositories supporting operational and strategic decisions; manages 80% of unstructured business content.
• Limitation — Taxonomy Complexity: Without a coherent classification framework, documents become unsearchable; organisational knowledge resists rigid categorisation, making taxonomy development both essential and notoriously difficult.
• Limitation — Content Quality: Repositories can fill with outdated or contextually incomplete documents; documents lacking sufficient contextual framing may be misinterpreted; employee participation without incentive systems leads to knowledge hoarding.",
Q15,"Assess the purpose and value of Learning Management Systems (LMS) within enterprise-wide knowledge management, and evaluate how they support organisational learning.","• LMS Defined: Software platforms that administer, deliver, track, and assess employee training and educational programmes across multiple modes (web-based, live instruction, online forums).
• Purpose in KM: Formalises knowledge transfer from experienced employees to the wider workforce; operationalises the dissemination and application stages of the KM value chain.
• Value to Organisation: Reduces onboarding costs, ensures compliance training delivery, supports continuous professional development, and builds measurable employee competencies at scale.
• Support for Organisational Learning: Automated course administration, multi-modal delivery for geographically dispersed teams, and tracking/assessment capabilities enable data-driven refinement of training programmes.
• Critical Evaluation: LMS excels at delivering structured, explicit knowledge but is poorly suited for tacit knowledge transfer; learner engagement is a persistent challenge with high dropout rates in self-directed online formats; content rapidly becomes outdated in fast-moving fields.",
Q16,Evaluate the role of knowledge workers in an organisation and critically assess the requirements of knowledge work systems that support their activities.,"• Knowledge Workers Defined: Specialised professionals (researchers, engineers, architects, financial analysts) whose primary output is knowledge creation and application rather than routine information processing.
• Three Organisational Roles: Keeping the organisation current in their knowledge domain; serving as internal expert consultants; acting as change agents identifying innovation opportunities and leading transformation.
• KWS Requirements: Substantial computing power for simulation and modelling; advanced graphics for visualisation; communication and document management for collaboration; external database access for current domain knowledge; task-optimised user interfaces.
• Examples: CAD systems (engineering design), 3D printing, VR systems (medical modelling), investment workstations — demonstrating the domain-specificity of effective KWS.
• Critical Evaluation: KWS enable individual knowledge creation but do not inherently facilitate organisation-wide transfer — without complementary KM systems (ECM, knowledge networks), new knowledge remains siloed; retention risk is significant if key knowledge workers depart.",
Q17,Compare and critically evaluate expert systems and case-based reasoning (CBR) as intelligent techniques for capturing and applying organisational knowledge.,"• Expert Systems Defined: Capture domain expert knowledge as IF-THEN rules in a knowledge base; an inference engine (forward/backward chaining) applies rules to diagnose problems or recommend solutions.
• CBR Defined: Solves new problems by retrieving and adapting solutions from a repository of past cases (problem description, solution, outcome); learns incrementally as new cases are added.
• Comparison — Knowledge Acquisition: Expert systems require intensive upfront knowledge engineering from domain experts; CBR leverages historical case data, reducing initial expert dependency and supporting incremental learning.
• Comparison — Adaptability: CBR adapts more flexibly to novel situations by modifying past solutions; expert systems struggle when problems fall outside predefined rules — they are brittle in dynamic domains.
• Critical Evaluation: Expert systems can only capture knowledge the expert can articulate, missing deep tacit knowledge; CBR degrades if the case repository is poorly curated or cases are too sparse; both require ongoing maintenance and neither fully captures tacit knowledge.",
Q18,"Evaluate the role of machine learning and intelligent agents as intelligent techniques in knowledge management, providing examples and assessing their limitations.","• Machine Learning Defined: A subset of AI where systems learn patterns from data without explicit programming; enables predictive analytics, classification, and pattern recognition from large datasets.
• Types of Machine Learning: Supervised learning (labelled training data), unsupervised learning (pattern discovery), and reinforcement learning (reward-based optimisation) — each suited to different organisational applications.
• Intelligent Agents Defined: Software programmes that autonomously perform tasks on behalf of users, monitoring environments, making decisions, and executing actions without continuous human supervision.
• Organisational Applications: ML supports demand forecasting, fraud detection, personalised recommendations (e.g., Netflix, Amazon); intelligent agents automate routine knowledge tasks (e.g., scheduling, data gathering, monitoring).
• Critical Evaluation: ML models require large volumes of high-quality training data; outputs may be opaque (black box problem), reducing trust; intelligent agents raise concerns about autonomous decision-making accountability and unintended consequences.",
Q19,Evaluate the concept of Communities of Practice (COPs) as a mechanism for building organisational and management capital. How effective are they in facilitating knowledge sharing?,"• Communities of Practice Defined: Informal networks of individuals who share a common interest, expertise, or professional domain and collaborate to build and share tacit knowledge through social interaction.
• Role in KM: Bridge the gap between formal KMS and tacit knowledge transfer; provide the social and experiential learning context that LMS and ECM systems cannot replicate.
• Mechanisms of Knowledge Building: Shared storytelling, peer problem-solving, joint projects, and mentoring enable tacit knowledge to surface and spread organically through communities.
• Organisational Value: Accelerate expertise development, reduce duplication of problem-solving effort, foster cross-departmental innovation, and improve organisational resilience through distributed knowledge.
• Critical Evaluation: COPs are difficult to manage formally — imposing structure can undermine the organic trust that makes them effective; participation is voluntary and uneven; measuring their contribution to knowledge capital is inherently challenging.",
Q20,"Critically evaluate the key challenges organisations face when implementing knowledge management systems, and suggest strategies to overcome these challenges.","• Cultural Resistance: Employees may resist sharing knowledge due to fear of losing competitive advantage, status, or job security; organisational culture must shift to value knowledge contribution.
• Technology Alignment: KMS must be intuitive and integrate with existing workflows; poorly designed or disconnected systems reduce adoption and create parallel informal knowledge-sharing practices.
• Taxonomy and Classification: Developing coherent, organisation-wide knowledge classification frameworks is complex; poor taxonomy leads to retrieval failure, information overload, and redundant knowledge repositories.
• Tacit Knowledge Capture: The most valuable organisational knowledge is embedded in individual experience and intuition; converting it to explicit form inevitably loses contextual nuance and situational richness.
• Critical Evaluation: KM initiatives frequently fail because they focus on technology deployment without addressing cultural and managerial dimensions; sustained leadership commitment, reward systems, and governance frameworks are essential prerequisites for effective KM implementation.",
Q21,Define a 'Digital Firm' and list three major advantages it has over a traditional business model.,"• Digital Firm Defined: An organisation where nearly all significant business relationships with customers, suppliers, and employees are digitally enabled and mediated through digital networks.
• Advantage 1 — Speed: Digital firms execute and manage core business processes (ordering, fulfilment, HR, finance) far faster than traditional firms through automated, integrated information systems.
• Advantage 2 — Global Reach: Digital firms operate and coordinate across geographic boundaries in real time, accessing global markets and talent without proportional cost increases.
• Advantage 3 — Flexibility and Responsiveness: Digital firms can rapidly sense and respond to market changes by leveraging real-time data, enabling more agile decision-making and operational adaptation.",
Q22,Identify and briefly explain any five strategic business objectives achieved through information systems.,"• Operational Excellence: IS automates and optimises business processes (e.g., ERP streamlining supply chains), improving efficiency and reducing operational costs across the organisation.
• New Products and Services: IS enables development of innovative digital products and services (e.g., Uber's app-based ride service) and supports rapid iteration through data-driven insights.
• Customer and Supplier Intimacy: CRM and SCM systems enable personalised customer interactions and tighter supplier integration, improving satisfaction and reducing transaction costs.
• Improved Decision-Making: Real-time management information systems provide managers with accurate, timely data, enabling evidence-based decisions and reducing uncertainty at all organisational levels.
• Competitive Advantage: IS enables firms to execute strategies competitors cannot easily replicate — through cost leadership, differentiation, or market creation — sustaining superior performance over time.",
Q23,Distinguish between Data and Information with example.,"• Data Defined: Raw, unprocessed facts, figures, or events without context or meaning (e.g., a sales figure of 500 units).
• Information Defined: Data that has been processed, organised, and contextualised to carry meaning useful for decision-making (e.g., 'sales fell 20% in Q3 compared to Q2').
• Key Distinction: Data has no inherent meaning without processing; information is data transformed into a form that is actionable and relevant to a specific decision or context.
• Example: Individual customer transaction records (data) → monthly revenue report by product category (information) enabling management to identify underperforming product lines.",
Q24,Explain the four basic functions of an information system.,"• Input: The process of capturing or collecting raw data from internal or external sources for entry into the information system for processing.
• Processing: The conversion of raw input data into meaningful information through sorting, classifying, calculating, and summarising.
• Output: Transferring processed information to the people or activities that will use it — in the form of reports, dashboards, or data feeds.
• Feedback: Output returned to appropriate organisational members to evaluate and correct the input stage; enables the system to adapt and self-correct based on outputs generated.",
Q25,Discuss the three dimensions of an information system.,"• Organisational Dimension: Information systems are embedded within the structure, culture, processes, and goals of organisations; they reflect and reinforce organisational hierarchy and division of labour.
• People Dimension: IS require skilled human actors — managers, knowledge workers, and operational staff — to design, build, operate, and interpret system outputs; technology without people generates no value.
• Technology Dimension: The hardware, software, data management, and networking infrastructure that form the technical foundation of IS; must be selected, configured, and maintained to support organisational objectives.",
Q26,What are Complementary Assets and why are they important?,"• Complementary Assets Defined: Organisational, managerial, and social assets required alongside technology investment for information systems to deliver full business value.
• Examples: Organisational assets (efficient business processes, decentralised authority), managerial assets (strong IS governance, knowledge base), social assets (internet infrastructure, trained labour pool, technology standards).
• Importance — Return on Investment: Technology alone rarely delivers competitive advantage; firms that invest only in IT without complementary assets consistently underperform in IS returns.
• Strategic Implication: Organisations must invest holistically in people, processes, and management practices alongside technology deployment to realise sustainable value from information systems.",
Q27,Identify four ERP implementation challenges.,"• High Costs and Extended Timelines: ERP implementations require substantial financial investment and typically take 1–3 years; cost overruns are common due to scope creep and customisation requirements.
• Business Process Redesign: Organisations must adapt their existing processes to fit ERP system requirements, or customise the system extensively — both options are costly and disruptive.
• Data Migration Complexity: Consolidating, cleansing, and migrating legacy data from disparate systems into the unified ERP database is technically complex and prone to data quality errors.
• Organisational Resistance: Employees resist process changes and new workflows; without strong change management, training investment, and executive sponsorship, ERP adoption rates remain low.",
Q28,How do time and space collaboration tools reduce communication gaps?,"• Time Shifting: Collaboration tools enable asynchronous communication — participants contribute at different times without needing simultaneous availability, removing scheduling constraints across time zones.
• Space Shifting: Tools enable collaboration regardless of physical location — remote teams collaborate as effectively as co-located teams, eliminating geographical barriers to teamwork.
• Examples of Impact: Project management platforms (Asana, Jira) allow distributed teams to coordinate tasks across time zones; shared document repositories enable continuous knowledge building regardless of location.
• Business Value: Reduces meeting overhead, accelerates decision cycles, supports flexible working arrangements, and enables global talent collaboration without travel costs.",
Q29,Describe asynchronous communication tools with examples.,"• Asynchronous Communication Defined: Communication tools where participants do not interact in real time — messages are sent and received at different times, without requiring simultaneous presence.
• Email: The most widely used asynchronous tool; enables formal, documented communication across organisations and between stakeholders; supports file attachments and threading.
• Discussion Boards/Forums: Enable threaded, topic-organised conversations allowing multiple participants to contribute at their own pace; useful for knowledge-sharing communities.
• Collaborative Wikis and Document Platforms: Tools like Confluence or SharePoint allow teams to build shared knowledge bases asynchronously, with version control and concurrent editing.",
Q30,Explain the three functional levels of information systems.,"• Operational Level: Systems that monitor routine daily transactions and operational activities (e.g., TPS recording sales, payroll, order processing); provide the raw data foundation for higher-level systems.
• Management Level (Tactical): Systems that serve middle managers with reports and analysis for monitoring, controlling, and decision-making (e.g., MIS, DSS); draw data from operational systems.
• Strategic Level: Systems that support senior executives in addressing long-term, unstructured strategic decisions using both internal performance data and external environmental information (e.g., ESS, BSC tools).",
Q31,"Explain the three functional levels of information systems (Operational, Management, and Strategic) and provide an example of a system used at each level.","• Operational Level: Transaction Processing Systems (TPS) handle routine daily activities — sales, payroll, inventory, order entries — providing the raw data foundation for the entire IS hierarchy.
• Management Level: Management Information Systems (MIS) and Decision Support Systems (DSS) aggregate operational data into reports and analytical tools supporting middle management planning and control.
• Strategic Level: Executive Support Systems (ESS) aggregate internal and external data to support senior executives in unstructured, long-horizon strategic decisions; focus on trends, scenarios, and competitive intelligence.",
Q32,Discuss how operational-level systems provide the foundation for higher-level decision-making.,"• Data Foundation: Operational-level TPS generate the granular transactional data (sales records, inventory movements, customer orders) that feeds into management and strategic information systems.
• Performance Monitoring: Management-level MIS draws directly from TPS data to produce performance dashboards and exception reports, enabling tactical decisions based on real-time operational realities.
• Strategic Intelligence: Aggregated operational trends flow into ESS, enabling senior executives to identify long-term patterns, competitive shifts, and strategic opportunities grounded in actual operational performance.
• Integration Dependency: Higher-level decision quality is directly dependent on the accuracy, completeness, and timeliness of data generated at the operational level — poor TPS data quality cascades upward.",
Q33,Identify three collaboration tools for remote work and describe their functions.,"• Video Conferencing Tools (e.g., Zoom, Microsoft Teams): Enable real-time face-to-face communication for remote teams; support screen sharing, virtual whiteboards, and breakout rooms for collaborative sessions.
• Project Management Platforms (e.g., Asana, Trello, Jira): Facilitate task assignment, progress tracking, deadline management, and team coordination across distributed locations without synchronous interaction.
• Collaborative Document Platforms (e.g., Google Workspace, SharePoint): Allow multiple team members to simultaneously create, edit, and comment on shared documents, spreadsheets, and presentations in real time.",
Q34,Distinguish between synchronous and asynchronous communication tools.,"• Synchronous Communication: Real-time interaction where all participants are present simultaneously (e.g., video calls, instant messaging, phone calls); enables immediate feedback and dynamic discussion.
• Asynchronous Communication: Time-shifted interaction where participants contribute at different times without needing to be present simultaneously (e.g., email, discussion boards, recorded video).
• Key Distinction: Synchronous tools maximise responsiveness and interpersonal connection but require scheduling coordination; asynchronous tools offer flexibility and documentation but slow response cycles.
• Appropriate Use: Synchronous suits urgent decisions, relationship-building, and complex problem-solving; asynchronous suits information sharing, cross-time-zone collaboration, and knowledge documentation.",
Q35,What is an ERP system and how does it eliminate silos?,"• ERP Defined: Enterprise Resource Planning systems are integrated software platforms that unify core business processes — finance, HR, manufacturing, supply chain, procurement — into a single shared database.
• Eliminating Silos: Legacy organisations operated with separate, incompatible departmental systems creating data duplication, inconsistency, and communication barriers between functions.
• Unified Data Model: ERP replaces fragmented databases with a single source of truth accessible across all departments, ensuring consistent, real-time data for all business functions simultaneously.
• Process Integration: Transactions entered in one module (e.g., a sale in the sales module) automatically update related modules (inventory, accounts receivable, production), creating seamless cross-functional workflow automation.",
Q36,Analyze the impact of IT-enabled flattening on an organization's hierarchy.,"• Organisational Flattening Defined: IT reduces the number of management layers required by automating information flows and enabling direct, real-time communication between top management and front-line workers.
• Mechanism: Information systems enable senior managers to access operational data directly, reducing the need for middle management as information intermediaries; spans of control can increase.
• Benefits: Faster decision-making, reduced overhead costs from fewer management layers, greater employee empowerment and accountability at operational levels.
• Critical Evaluation: Flattening may overextend remaining managers' spans of control; informal hierarchies can persist even when formal layers are removed; some coordination functions of middle management cannot be fully replaced by technology.",
Q37,How has the Internet reduced the cost of operating globally?,"• Communication Cost Reduction: The Internet provides near-zero marginal cost global communication — email, video conferencing, and messaging replace expensive international phone calls and physical correspondence.
• Coordination Cost Reduction: Cloud-based IS platforms enable real-time coordination of globally distributed supply chains, manufacturing operations, and customer service without proportional infrastructure investment.
• Market Access: The Internet eliminates the need for physical market entry infrastructure — businesses can reach global customers through digital storefronts at a fraction of traditional international expansion costs.
• Knowledge Sharing: Digital platforms enable global teams to share information, best practices, and collaborative work in real time, reducing knowledge transfer costs across international operations.",
Q38,Explain the concepts of time shifting and space shifting.,"• Time Shifting: The ability to conduct business processes and interactions at any time, freed from the constraint of synchronous schedules; e.g., customers purchasing online at 2am; employees collaborating across time zones asynchronously.
• Space Shifting: The ability to conduct business from any physical location, freed from the constraint of a fixed workplace; e.g., remote working, mobile access to enterprise systems, global service delivery.
• Business Implications: Time and space shifting enable always-on customer service, global talent access, flexible working arrangements, and 24/7 operational capability without proportional cost increases.
• Strategic Value: Organisations leveraging time and space shifting gain competitive advantages through broader market reach, reduced real estate costs, faster response times, and access to global talent pools.",
Q39,Identify challenges faced due to rapid global expansion and how IS helped maintain quality.,"• Challenge — Cultural and Regulatory Diversity: Global expansion exposes firms to diverse legal systems, cultural norms, data privacy regulations, and business practices that increase operational complexity.
• Challenge — System Fragmentation: Rapid expansion through acquisitions or organic growth creates incompatible regional IS, impeding data sharing, performance visibility, and consolidated reporting.
• IS Solution — ERP Standardisation: Implementing global ERP platforms (e.g., SAP) standardises processes and data across regions, providing a unified operational view and enabling consistent global governance.
• IS Solution — Communication Infrastructure: Global collaboration tools and intranet platforms maintain organisational cohesion, knowledge sharing, and cultural alignment across distributed international operations.",
Q40,Discuss how investing in social and managerial assets is necessary for remote work success.,"• Social Assets for Remote Work: Shared digital communication norms, remote collaboration protocols, and organisational trust — employees must be willing to communicate openly and collaborate without physical proximity.
• Managerial Assets for Remote Work: Managers require new competencies — performance management by outcomes rather than presence, digital communication skills, and the ability to build team cohesion virtually.
• Technology Alone is Insufficient: Deploying collaboration tools without investing in management training, team culture-building, and digital communication standards produces underperforming remote teams.
• Return on Investment: Organisations that invest holistically in social and managerial complementary assets alongside technology see significantly higher productivity, retention, and collaboration quality in remote work environments.",
Q41,"Evaluate how information systems and organizations mutually influence each other, using mediating factors to support your answer.","• Mutual Influence Defined: Information systems both shape and are shaped by organisations — they are not neutral tools but transform structure, culture, politics, and processes while being constrained by organisational context.
• IS Shaping Organisations: IS enable organisational flattening (reducing management layers), process redesign, and new business models; they redistribute power, change workflows, and alter decision-making authority.
• Organisations Shaping IS: Organisational culture, politics, and existing processes influence IS design choices, implementation priorities, and user adoption patterns; IS that conflict with existing culture face resistance.
• Critical Evaluation: The relationship is dynamic and bidirectional; successful IS implementation requires managing this mutual influence — understanding that technology adoption is as much a socio-political process as a technical one.",
Q42,"Critically evaluate the concept of disruptive technology, distinguishing between first movers and fast followers with real-world examples.","• Disruptive Technology Defined: Technology that initially underperforms established products on mainstream metrics but excels on different dimensions (e.g., cost, simplicity), eventually displacing incumbents.
• Sustaining Technology: Incremental improvements to existing technology along established performance dimensions — sustaining the competitive positions of incumbent firms (e.g., faster processors, better cameras).
• Disruptive Mechanism: Disruptors enter low-end or new markets incumbents ignore, improve over time, and eventually capture the mainstream market — displacing firms that failed to respond (e.g., streaming vs DVD rental, smartphones vs cameras).
• Critical Evaluation: Disruptive innovation theory is contested — not all technology that fails initially is genuinely disruptive; incumbents can also successfully adopt disruptions if they identify them early and respond strategically.",
Q43,Evaluate Porter's Five Forces model and assess how information systems can be used to address each competitive force.,"• Porter's Five Forces: Competitive rivalry, threat of new entrants, threat of substitutes, bargaining power of buyers, and bargaining power of suppliers — together determine industry attractiveness and competitive intensity.
• IS Reducing Supplier Power: SCM systems enable firms to work with multiple global suppliers simultaneously, reducing dependency and improving negotiating leverage.
• IS Reducing Buyer Power: CRM and loyalty systems increase switching costs and deepen customer relationships, reducing price sensitivity and customer churn.
• IS Raising Entry Barriers: Proprietary IS capabilities (e.g., Amazon's logistics network, Walmart's SCM) create scale advantages and switching costs that are difficult and expensive for new entrants to replicate.
• Critical Evaluation: Porter's model is static and industry-level — IS may simultaneously affect multiple forces in complex ways; digital platforms can disrupt multiple forces at once, requiring dynamic analysis beyond a simple five-force assessment.",
