question_id,concept_id,question,concept_text,max_mark,concept_source,concept_generator_backend,concept_generator_model
Q13,Q13_G2,"Evaluate the four stages of the Knowledge Management Value Chain (acquisition, storage, dissemination, application) and assess how each stage contributes to organisational value creation.","Storage: Structuring and preserving acquired knowledge in databases and document management systems; requires careful taxonomy development, management support, and employee incentive systems.",1.0,generated,flan-t5,google/flan-t5-small
Q13,Q13_G3,"Evaluate the four stages of the Knowledge Management Value Chain (acquisition, storage, dissemination, application) and assess how each stage contributes to organisational value creation.","Dissemination: Making stored knowledge accessible through portals, wikis, email, and collaboration tools; information overload is a significant risk, requiring training and informal networks to filter relevant content.",1.0,generated,flan-t5,google/flan-t5-small
Q13,Q13_G4,"Evaluate the four stages of the Knowledge Management Value Chain (acquisition, storage, dissemination, application) and assess how each stage contributes to organisational value creation.","Application: Embedding knowledge into decision-support systems and business processes to generate return on investment; the stage where tangible organisational value is realised — new products, services, and markets.",1.0,generated,flan-t5,google/flan-t5-small
Q13,Q13_G5,"Evaluate the four stages of the Knowledge Management Value Chain (acquisition, storage, dissemination, application) and assess how each stage contributes to organisational value creation.","Critical Evaluation: Chain is only as strong as its weakest stage; most organisations underinvest in dissemination (knowledge silos) and application; feedback loops — knowledge from application enriching acquisition — are essential for a dynamic, self-improving system.",1.0,generated,flan-t5,google/flan-t5-small
Q14,Q14_G1,"Evaluate the role of Enterprise Content Management (ECM) systems in managing organisational knowledge, including their key functions and limitations.","ECM Defined: Systems that capture, store, manage, and deliver the full lifecycle of unstructured and semi-structured organisational content — documents, emails, videos, wikis, blogs, and external feeds.",1.0,generated,flan-t5,google/flan-t5-small
Q14,Q14_G2,"Evaluate the role of Enterprise Content Management (ECM) systems in managing organisational knowledge, including their key functions and limitations.","Key Functions: Content lifecycle management (create/capture, tag, store/retrieve, manage/review, distribute/publish); digital asset management; collaboration tools integration; unified enterprise-wide repository.",1.0,generated,flan-t5,google/flan-t5-small
Q14,Q14_G3,"Evaluate the role of Enterprise Content Management (ECM) systems in managing organisational knowledge, including their key functions and limitations.","Knowledge Management Role: Transforms dispersed, heterogeneous content into organised, accessible knowledge repositories supporting operational and strategic decisions; manages 80% of unstructured business content.",1.0,generated,flan-t5,google/flan-t5-small
Q14,Q14_G4,"Evaluate the role of Enterprise Content Management (ECM) systems in managing organisational knowledge, including their key functions and limitations.","Limitation — Taxonomy Complexity: Without a coherent classification framework, documents become unsearchable; organisational knowledge resists rigid categorisation, making taxonomy development both essential and notoriously difficult.",1.0,generated,flan-t5,google/flan-t5-small
Q14,Q14_G5,"Evaluate the role of Enterprise Content Management (ECM) systems in managing organisational knowledge, including their key functions and limitations.",Limitation — Content Quality: Repositories can fill with outdated or contextually incomplete documents; documents lacking sufficient contextual framing may be misinterpreted; employee participation without incentive systems leads to knowledge hoarding.,1.0,generated,flan-t5,google/flan-t5-small
Q15,Q15_G1,"Assess the purpose and value of Learning Management Systems (LMS) within enterprise-wide knowledge management, and evaluate how they support organisational learning.","Learning Management Systems (LMS) are software platforms that administer, deliver, track, and assess employee training and educational programmes across multiple modes (web-based, live instruction, online forums).",1.0,generated,flan-t5,google/flan-t5-small
Q15,Q15_G2,"Assess the purpose and value of Learning Management Systems (LMS) within enterprise-wide knowledge management, and evaluate how they support organisational learning.",• Purpose in KM: Formalises knowledge transfer from experienced employees to the wider workforce; operationalises the dissemination and application stages of the KM value chain.,1.0,generated,flan-t5,google/flan-t5-small
Q15,Q15_G3,"Assess the purpose and value of Learning Management Systems (LMS) within enterprise-wide knowledge management, and evaluate how they support organisational learning.","• Value to Organisation: Reduces onboarding costs, ensures compliance training delivery, supports continuous professional development, and builds measurable employee competencies at scale.",1.0,generated,flan-t5,google/flan-t5-small
Q15,Q15_G4,"Assess the purpose and value of Learning Management Systems (LMS) within enterprise-wide knowledge management, and evaluate how they support organisational learning.","• Support for Organisational Learning: Automated course administration, multi-modal delivery for geographically dispersed teams, and tracking/assessment capabilities enable data-driven refinement of training programmes.",1.0,generated,flan-t5,google/flan-t5-small
Q15,Q15_G5,"Assess the purpose and value of Learning Management Systems (LMS) within enterprise-wide knowledge management, and evaluate how they support organisational learning.","• Critical Evaluation: LMS excels at delivering structured, explicit knowledge but is poorly suited for tacit knowledge transfer; learner engagement is a persistent challenge with high dropout rates in self-directed online formats; content rapidly becomes outdated in fast-moving fields.",1.0,generated,flan-t5,google/flan-t5-small
Q16,Q16_G1,Evaluate the role of knowledge workers in an organisation and critically assess the requirements of knowledge work systems that support their activities.,"Knowledge Workers Defined: Specialised professionals (researchers, engineers, architects, financial analysts) whose primary output is knowledge creation and application rather than routine information processing.",1.0,generated,flan-t5,google/flan-t5-small
Q16,Q16_G2,Evaluate the role of knowledge workers in an organisation and critically assess the requirements of knowledge work systems that support their activities.,Three Organisational Roles: Keeping the organisation current in their knowledge domain; serving as internal expert consultants; acting as change agents identifying innovation opportunities and leading transformation.,1.0,generated,flan-t5,google/flan-t5-small
Q16,Q16_G3,Evaluate the role of knowledge workers in an organisation and critically assess the requirements of knowledge work systems that support their activities.,KWS Requirements: Substantial computing power for simulation and modelling; advanced graphics for visualisation; communication and document management for collaboration; external database access for current domain knowledge; task-optimised user interfaces.,1.0,generated,flan-t5,google/flan-t5-small
Q16,Q16_G4,Evaluate the role of knowledge workers in an organisation and critically assess the requirements of knowledge work systems that support their activities.,"Examples: CAD systems (engineering design), 3D printing, VR systems (medical modelling), investment workstations — demonstrating the domain-specificity of effective KWS.",1.0,generated,flan-t5,google/flan-t5-small
Q16,Q16_G5,Evaluate the role of knowledge workers in an organisation and critically assess the requirements of knowledge work systems that support their activities.,"Critical Evaluation: KWS enable individual knowledge creation but do not inherently facilitate organisation-wide transfer — without complementary KM systems (ECM, knowledge networks), new knowledge remains siloed; retention risk is significant if key knowledge workers depart.",1.0,generated,flan-t5,google/flan-t5-small
Q17,Q17_G1,Compare and critically evaluate expert systems and case-based reasoning (CBR) as intelligent techniques for capturing and applying organisational knowledge.,Expert Systems Defined: Capture domain expert knowledge as IF-THEN rules in a knowledge base; an inference engine (forward/backward chaining) applies rules to diagnose problems or recommend solutions.,1.0,generated,flan-t5,google/flan-t5-small
Q17,Q17_G2,Compare and critically evaluate expert systems and case-based reasoning (CBR) as intelligent techniques for capturing and applying organisational knowledge.,"CBR Defined: Solves new problems by retrieving and adapting solutions from a repository of past cases (problem description, solution, outcome); learns incrementally as new cases are added.",1.0,generated,flan-t5,google/flan-t5-small
Q17,Q17_G3,Compare and critically evaluate expert systems and case-based reasoning (CBR) as intelligent techniques for capturing and applying organisational knowledge.,"Comparison — Knowledge Acquisition: Expert systems require intensive upfront knowledge engineering from domain experts; CBR leverages historical case data, reducing initial expert dependency and supporting incremental learning.",1.0,generated,flan-t5,google/flan-t5-small
Q17,Q17_G4,Compare and critically evaluate expert systems and case-based reasoning (CBR) as intelligent techniques for capturing and applying organisational knowledge.,Comparison — Adaptability: CBR adapts more flexibly to novel situations by modifying past solutions; expert systems struggle when problems fall outside predefined rules — they are brittle in dynamic domains.,1.0,generated,flan-t5,google/flan-t5-small
Q17,Q17_G5,Compare and critically evaluate expert systems and case-based reasoning (CBR) as intelligent techniques for capturing and applying organisational knowledge.,"Critical Evaluation: Expert systems can only capture knowledge the expert can articulate, missing deep tacit knowledge; CBR degrades if the case repository is poorly curated or cases are too sparse; both require ongoing maintenance and neither fully captures tacit knowledge.",1.0,generated,flan-t5,google/flan-t5-small
Q18,Q18_G1,"Evaluate the role of machine learning and intelligent agents as intelligent techniques in knowledge management, providing examples and assessing their limitations.","Machine learning and intelligent agents are a subset of AI where systems learn patterns from data without explicit programming; enables predictive analytics, classification, and pattern recognition from large datasets.",1.0,generated,flan-t5,google/flan-t5-small
Q18,Q18_G2,"Evaluate the role of machine learning and intelligent agents as intelligent techniques in knowledge management, providing examples and assessing their limitations.","• Types of Machine Learning: Supervised learning (labelled training data), unsupervised learning (pattern discovery), and reinforcement learning (reward-based optimisation) — each suited to different organisational applications.",1.0,generated,flan-t5,google/flan-t5-small
Q18,Q18_G3,"Evaluate the role of machine learning and intelligent agents as intelligent techniques in knowledge management, providing examples and assessing their limitations.","• Intelligent Agents Defined: Software programmes that autonomously perform tasks on behalf of users, monitoring environments, making decisions, and executing actions without continuous human supervision.",1.0,generated,flan-t5,google/flan-t5-small
Q18,Q18_G4,"Evaluate the role of machine learning and intelligent agents as intelligent techniques in knowledge management, providing examples and assessing their limitations.","• Organisational Applications: ML supports demand forecasting, fraud detection, personalised recommendations (e.g., Netflix, Amazon); intelligent agents automate routine knowledge tasks (e.g., scheduling, data gathering, monitoring).",1.0,generated,flan-t5,google/flan-t5-small
Q18,Q18_G5,"Evaluate the role of machine learning and intelligent agents as intelligent techniques in knowledge management, providing examples and assessing their limitations.","• Critical Evaluation: ML models require large volumes of high-quality training data; outputs may be opaque (black box problem), reducing trust; intelligent agents raise concerns about autonomous decision-making accountability and unintended consequences.",1.0,generated,flan-t5,google/flan-t5-small
Q19,Q19_G1,Evaluate the concept of Communities of Practice (COPs) as a mechanism for building organisational and management capital. How effective are they in facilitating knowledge sharing?,"• Communities of Practice Defined: Informal networks of individuals who share a common interest, expertise, or professional domain and collaborate to build and share tacit knowledge through social interaction.",1.0,generated,flan-t5,google/flan-t5-small
Q19,Q19_G2,Evaluate the concept of Communities of Practice (COPs) as a mechanism for building organisational and management capital. How effective are they in facilitating knowledge sharing?,• Role in KM: Bridge the gap between formal KMS and tacit knowledge transfer; provide the social and experiential learning context that LMS and ECM systems cannot replicate.,1.0,generated,flan-t5,google/flan-t5-small
Q19,Q19_G3,Evaluate the concept of Communities of Practice (COPs) as a mechanism for building organisational and management capital. How effective are they in facilitating knowledge sharing?,"• Mechanisms of Knowledge Building: Shared storytelling, peer problem-solving, joint projects, and mentoring enable tacit knowledge to surface and spread organically through communities.",1.0,generated,flan-t5,google/flan-t5-small
Q19,Q19_G4,Evaluate the concept of Communities of Practice (COPs) as a mechanism for building organisational and management capital. How effective are they in facilitating knowledge sharing?,"• Organisational Value: Accelerate expertise development, reduce duplication of problem-solving effort, foster cross-departmental innovation, and improve organisational resilience through distributed knowledge.",1.0,generated,flan-t5,google/flan-t5-small
Q2,Q2_G1,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,Information Asymmetry Defined: Traditional markets favour sellers who hold more product/price information than buyers; digital markets narrow this gap significantly.,1.0,generated,flan-t5,google/flan-t5-small
Q2,Q2_G2,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,"Consumer Benefit: Price transparency and cost transparency empower consumers to compare prices and discover merchant costs, increasing their bargaining power.",1.0,generated,flan-t5,google/flan-t5-small
Q2,Q2_G3,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,"Business Implication: Firms can no longer rely on information advantages; must compete on quality, service, and differentiation rather than price obscurity.",1.0,generated,flan-t5,google/flan-t5-small
Q2,Q2_G4,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,"New Asymmetries: Businesses leverage big data to practise dynamic pricing and price discrimination, sometimes exploiting information advantages over consumers.",1.0,generated,flan-t5,google/flan-t5-small
Q2,Q2_G5,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,"Critical Evaluation: Digital platforms like Amazon or Google accumulate vast consumer data, creating powerful new informational asymmetries that raise ethical and regulatory concerns.",1.0,generated,flan-t5,google/flan-t5-small
Q20,Q20_G1,"Critically evaluate the key challenges organisations face when implementing knowledge management systems, and suggest strategies to overcome these challenges.","Cultural Resistance: Employees may resist sharing knowledge due to fear of losing competitive advantage, status, or job security; organisational culture must shift to value knowledge contribution.",1.0,generated,flan-t5,google/flan-t5-small
Q20,Q20_G2,"Critically evaluate the key challenges organisations face when implementing knowledge management systems, and suggest strategies to overcome these challenges.",Technology Alignment: KMS must be intuitive and integrate with existing workflows; poorly designed or disconnected systems reduce adoption and create parallel informal knowledge-sharing practices.,1.0,generated,flan-t5,google/flan-t5-small
Q20,Q20_G3,"Critically evaluate the key challenges organisations face when implementing knowledge management systems, and suggest strategies to overcome these challenges.","Taxonomy and Classification: Developing coherent, organisation-wide knowledge classification frameworks is complex; poor taxonomy leads to retrieval failure, information overload, and redundant knowledge repositories.",1.0,generated,flan-t5,google/flan-t5-small
Q20,Q20_G4,"Critically evaluate the key challenges organisations face when implementing knowledge management systems, and suggest strategies to overcome these challenges.",Tacit Knowledge Capture: The most valuable organisational knowledge is embedded in individual experience and intuition; converting it to explicit form inevitably loses contextual nuance and situational richness.,1.0,generated,flan-t5,google/flan-t5-small
Q20,Q20_G5,"Critically evaluate the key challenges organisations face when implementing knowledge management systems, and suggest strategies to overcome these challenges.","Critical Evaluation: KM initiatives frequently fail because they focus on technology deployment without addressing cultural and managerial dimensions; sustained leadership commitment, reward systems, and governance frameworks are essential prerequisites for effective KM implementation.",1.0,generated,flan-t5,google/flan-t5-small
Q21,Q21_G1,Define a 'Digital Firm' and list three major advantages it has over a traditional business model.,"Digital Firm Defined: An organisation where nearly all significant business relationships with customers, suppliers, and employees are digitally enabled and mediated through digital networks.",1.0,generated,flan-t5,google/flan-t5-small
Q21,Q21_G2,Define a 'Digital Firm' and list three major advantages it has over a traditional business model.,"Advantage 1 — Speed: Digital firms execute and manage core business processes (ordering, fulfilment, HR, finance) far faster than traditional firms through automated, integrated information systems.",1.0,generated,flan-t5,google/flan-t5-small
Q21,Q21_G3,Define a 'Digital Firm' and list three major advantages it has over a traditional business model.,"Advantage 2 — Global Reach: Digital firms operate and coordinate across geographic boundaries in real time, accessing global markets and talent without proportional cost increases.",1.0,generated,flan-t5,google/flan-t5-small
Q21,Q21_G4,Define a 'Digital Firm' and list three major advantages it has over a traditional business model.,"Advantage 3 — Flexibility and Responsiveness: Digital firms can rapidly sense and respond to market changes by leveraging real-time data, enabling more agile decision-making and operational adaptation.",1.0,generated,flan-t5,google/flan-t5-small
Q22,Q22_G1,Identify and briefly explain any five strategic business objectives achieved through information systems.,"Organizational Excellence: IS automates and optimises business processes (e.g., ERP streamlining supply chains), improving efficiency and reducing operational costs across the organisation.",1.0,generated,flan-t5,google/flan-t5-small
Q22,Q22_G2,Identify and briefly explain any five strategic business objectives achieved through information systems.,"• New Products and Services: IS enables development of innovative digital products and services (e.g., Uber's app-based ride service) and supports rapid iteration through data-driven insights.",1.0,generated,flan-t5,google/flan-t5-small
Q22,Q22_G3,Identify and briefly explain any five strategic business objectives achieved through information systems.,"• Customer and Supplier Intimacy: CRM and SCM systems enable personalised customer interactions and tighter supplier integration, improving satisfaction and reducing transaction costs.",1.0,generated,flan-t5,google/flan-t5-small
Q22,Q22_G4,Identify and briefly explain any five strategic business objectives achieved through information systems.,"• Competitive Advantage: IS enables firms to execute strategies competitors cannot easily replicate — through cost leadership, differentiation, or market creation — sustaining superior performance over time.",1.0,generated,flan-t5,google/flan-t5-small
Q23,Q23_G1,Distinguish between Data and Information with example.,"Data Defined: Raw, unprocessed facts, figures, or events without context or meaning (e.g., a sales figure of 500 units).",1.0,generated,flan-t5,google/flan-t5-small
Q23,Q23_G2,Distinguish between Data and Information with example.,"Information Defined: Data that has been processed, organised, and contextualised to carry meaning useful for decision-making (e.g., 'sales fell 20% in Q3 compared to Q2').",1.0,generated,flan-t5,google/flan-t5-small
Q23,Q23_G3,Distinguish between Data and Information with example.,Key Distinction: Data has no inherent meaning without processing; information is data transformed into a form that is actionable and relevant to a specific decision or context.,1.0,generated,flan-t5,google/flan-t5-small
Q23,Q23_G4,Distinguish between Data and Information with example.,Example: Individual customer transaction records (data) → monthly revenue report by product category (information) enabling management to identify underperforming product lines.,1.0,generated,flan-t5,google/flan-t5-small
Q24,Q24_G1,Explain the four basic functions of an information system.,Input: The process of capturing or collecting raw data from internal or external sources for entry into the information system for processing.,1.0,generated,flan-t5,google/flan-t5-small
Q24,Q24_G2,Explain the four basic functions of an information system.,"Processing: The conversion of raw input data into meaningful information through sorting, classifying, calculating, and summarising.",1.0,generated,flan-t5,google/flan-t5-small
Q24,Q24_G3,Explain the four basic functions of an information system.,"Output: Transferring processed information to the people or activities that will use it — in the form of reports, dashboards, or data feeds.",1.0,generated,flan-t5,google/flan-t5-small
Q24,Q24_G4,Explain the four basic functions of an information system.,Feedback: Output returned to appropriate organisational members to evaluate and correct the input stage; enables the system to adapt and self-correct based on outputs generated.,1.0,generated,flan-t5,google/flan-t5-small
Q25,Q25_G1,Discuss the three dimensions of an information system.,"Organisational Dimension: Information systems are embedded within the structure, culture, processes, and goals of organisations; they reflect and reinforce organisational hierarchy and division of labour.",1.0,generated,flan-t5,google/flan-t5-small
Q25,Q25_G2,Discuss the three dimensions of an information system.,"People Dimension: IS require skilled human actors — managers, knowledge workers, and operational staff — to design, build, operate, and interpret system outputs; technology without people generates no value.",1.0,generated,flan-t5,google/flan-t5-small
Q25,Q25_G3,Discuss the three dimensions of an information system.,"Technology Dimension: The hardware, software, data management, and networking infrastructure that form the technical foundation of IS; must be selected, configured, and maintained to support organisational objectives.",1.0,generated,flan-t5,google/flan-t5-small
Q26,Q26_G1,What are Complementary Assets and why are they important?,"Complementary Assets Defined: Organisational, managerial, and social assets required alongside technology investment for information systems to deliver full business value.",1.0,generated,flan-t5,google/flan-t5-small
Q26,Q26_G2,What are Complementary Assets and why are they important?,"Examples: Organisational assets (efficient business processes, decentralised authority), managerial assets (strong IS governance, knowledge base), social assets (internet infrastructure, trained labour pool, technology standards).",1.0,generated,flan-t5,google/flan-t5-small
Q26,Q26_G3,What are Complementary Assets and why are they important?,Importance — Return on Investment: Technology alone rarely delivers competitive advantage; firms that invest only in IT without complementary assets consistently underperform in IS returns.,1.0,generated,flan-t5,google/flan-t5-small
Q26,Q26_G4,What are Complementary Assets and why are they important?,"Strategic Implication: Organisations must invest holistically in people, processes, and management practices alongside technology deployment to realise sustainable value from information systems.",1.0,generated,flan-t5,google/flan-t5-small
Q27,Q27_G1,Identify four ERP implementation challenges.,High Costs and Extended Timelines: ERP implementations require substantial financial investment and typically take 1–3 years; cost overruns are common due to scope creep and customisation requirements.,1.0,generated,flan-t5,google/flan-t5-small
Q27,Q27_G2,Identify four ERP implementation challenges.,"Business Process Redesign: Organisations must adapt their existing processes to fit ERP system requirements, or customise the system extensively — both options are costly and disruptive.",1.0,generated,flan-t5,google/flan-t5-small
Q27,Q27_G3,Identify four ERP implementation challenges.,"Data Migration Complexity: Consolidating, cleansing, and migrating legacy data from disparate systems into the unified ERP database is technically complex and prone to data quality errors.",1.0,generated,flan-t5,google/flan-t5-small
Q27,Q27_G4,Identify four ERP implementation challenges.,"Organisational Resistance: Employees resist process changes and new workflows; without strong change management, training investment, and executive sponsorship, ERP adoption rates remain low.",1.0,generated,flan-t5,google/flan-t5-small
Q28,Q28_G1,How do time and space collaboration tools reduce communication gaps?,"Time Shifting: Collaboration tools enable asynchronous communication — participants contribute at different times without needing simultaneous availability, removing scheduling constraints across time zones.",1.0,generated,flan-t5,google/flan-t5-small
Q28,Q28_G2,How do time and space collaboration tools reduce communication gaps?,"Space Shifting: Tools enable collaboration regardless of physical location — remote teams collaborate as effectively as co-located teams, eliminating geographical barriers to teamwork.",1.0,generated,flan-t5,google/flan-t5-small
Q28,Q28_G3,How do time and space collaboration tools reduce communication gaps?,"Examples of Impact: Project management platforms (Asana, Jira) allow distributed teams to coordinate tasks across time zones; shared document repositories enable continuous knowledge building regardless of location.",1.0,generated,flan-t5,google/flan-t5-small
Q28,Q28_G4,How do time and space collaboration tools reduce communication gaps?,"Business Value: Reduces meeting overhead, accelerates decision cycles, supports flexible working arrangements, and enables global talent collaboration without travel costs.",1.0,generated,flan-t5,google/flan-t5-small
Q29,Q29_G1,Describe asynchronous communication tools with examples.,"Asynchronous communication is a communication tool where participants do not interact in real time — messages are sent and received at different times, without requiring simultaneous presence.",1.0,generated,flan-t5,google/flan-t5-small
Q29,Q29_G2,Describe asynchronous communication tools with examples.,"• Email: The most widely used asynchronous tool; enables formal, documented communication across organisations and between stakeholders; supports file attachments and threading.",1.0,generated,flan-t5,google/flan-t5-small
Q29,Q29_G3,Describe asynchronous communication tools with examples.,"• Discussion Boards/Forums: Enable threaded, topic-organised conversations allowing multiple participants to contribute at their own pace; useful for knowledge-sharing communities.",1.0,generated,flan-t5,google/flan-t5-small
Q3,Q3_G1,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,"Advertising Revenue Model: Revenue generated by charging fees for displaying advertisements to high-volume audiences (e.g., Google, Facebook); free for users, enabling rapid growth.",1.0,generated,flan-t5,google/flan-t5-small
Q3,Q3_G2,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,"Subscription Revenue Model: Users pay a recurring fee for continuous access to a service or content (e.g., Netflix, Spotify); provides predictable, stable recurring revenue.",1.0,generated,flan-t5,google/flan-t5-small
Q3,Q3_G3,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,Comparison — Stability vs Scale: Subscription provides predictable revenue; advertising revenue fluctuates with traffic volume and advertiser spending cycles.,1.0,generated,flan-t5,google/flan-t5-small
Q3,Q3_G4,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,"Hybrid Convergence: Many platforms blend both models (e.g., Netflix ad-supported tiers, Spotify freemium); long-term trend is towards personalised, blended revenue models.",1.0,generated,flan-t5,google/flan-t5-small
Q3,Q3_G5,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,Critical Evaluation: Advertising risks user experience tensions and ad-blocking; subscription models face churn risk and require constant high-value content delivery to retain paying customers.,1.0,generated,flan-t5,google/flan-t5-small
Q30,Q30_G1,Explain the three functional levels of information systems.,"Operational Level: Systems that monitor routine daily transactions and operational activities (e.g., TPS recording sales, payroll, order processing); provide the raw data foundation for higher-level systems.",1.0,generated,flan-t5,google/flan-t5-small
Q30,Q30_G2,Explain the three functional levels of information systems.,"Management Level (Tactical): Systems that serve middle managers with reports and analysis for monitoring, controlling, and decision-making (e.g., MIS, DSS); draw data from operational systems.",1.0,generated,flan-t5,google/flan-t5-small
Q30,Q30_G3,Explain the three functional levels of information systems.,"Strategic Level: Systems that support senior executives in addressing long-term, unstructured strategic decisions using both internal performance data and external environmental information (e.g., ESS, BSC tools).",1.0,generated,flan-t5,google/flan-t5-small
